condition,coeff,n,pain_rate,relief_rate,joy_rate,degenerate_rate,mean_words
pain,-3.0,20,0.0,15.0,80.0,95.0,42.2
pain,-2.0,20,0.0,25.0,40.0,85.0,41.6
pain,-1.5,20,0.0,15.0,15.0,75.0,40.2
pain,-1.0,20,0.0,10.0,5.0,65.0,38.7
pain,-0.5,20,0.0,0.0,0.0,75.0,39.4
pain,0.0,20,0.0,0.0,0.0,70.0,39.4
random,-3.0,20,0.0,0.0,0.0,70.0,40.2
random,-2.0,20,0.0,0.0,0.0,60.0,40.8
random,-1.5,20,0.0,0.0,5.0,70.0,39.2
random,-1.0,20,0.0,0.0,5.0,75.0,39.6
random,-0.5,20,0.0,0.0,0.0,70.0,39.8
shuffled,-3.0,20,0.0,0.0,0.0,60.0,39.8
shuffled,-2.0,20,0.0,0.0,0.0,50.0,40.8
shuffled,-1.5,20,0.0,0.0,0.0,60.0,39.4
shuffled,-1.0,20,0.0,0.0,0.0,60.0,38.2
shuffled,-0.5,20,0.0,0.0,0.0,70.0,38.2
