vector,variant,pole,rank,token,score
s1,raw,+pain,1, pain,0.20101378858089447
s1,raw,+pain,2,疼痛,0.19387444853782654
s1,raw,+pain,3, Pain,0.1923595666885376
s1,raw,+pain,4,pain,0.1786462962627411
s1,raw,+pain,5, đau,0.14593178033828735
s1,raw,+pain,6,痛苦,0.14371082186698914
s1,raw,+pain,7, hurting,0.13742944598197937
s1,raw,+pain,8,缝,0.13627572357654572
s1,raw,+pain,9, painful,0.1339728683233261
s1,raw,+pain,10, pins,0.13207894563674927
s1,raw,+pain,11,灼,0.13131794333457947
s1,raw,+pain,12,割,0.13076302409172058
s1,raw,+pain,13,麻醉,0.12947416305541992
s1,raw,+pain,14, pressure,0.1286933720111847
s1,raw,+pain,15,针,0.12775388360023499
s1,raw,+pain,16, incapac,0.12766103446483612
s1,raw,+pain,17,needle,0.12722185254096985
s1,raw,+pain,18, shooting,0.126811221241951
s1,raw,+pain,19,痛み,0.12662753462791443
s1,raw,+pain,20, exc,0.12636888027191162
s1,raw,+pain,21,住院,0.12603649497032166
s1,raw,+pain,22,pressure,0.12461264431476593
s1,raw,+pain,23,孤立,0.12459863722324371
s1,raw,+pain,24,疼,0.12410265952348709
s1,raw,+pain,25, stabbing,0.12376853078603745
s1,raw,+pain,26,刺,0.12270474433898926
s1,raw,+pain,27,烧,0.12255210429430008
s1,raw,+pain,28, needle,0.12082216888666153
s1,raw,+pain,29, Pins,0.12068632245063782
s1,raw,+pain,30, Needle,0.12066246569156647
s1,raw,+pain,31, fever,0.120549276471138
s1,raw,+pain,32, failing,0.11996345221996307
s1,raw,+pain,33, burning,0.11936390399932861
s1,raw,+pain,34, crippling,0.1187712699174881
s1,raw,+pain,35, Pressure,0.11861806362867355
s1,raw,+pain,36, hurts,0.11812948435544968
s1,raw,+pain,37, burn,0.11747877299785614
s1,raw,+pain,38, burned,0.11576084047555923
s1,raw,+pain,39, hurt,0.11560593545436859
s1,raw,+pain,40,妁,0.11520388722419739
s1,raw,-pain,1,生态保护,-0.16557708382606506
s1,raw,-pain,2, peaceful,-0.1631084680557251
s1,raw,-pain,3, ecological,-0.16194948554039001
s1,raw,-pain,4, peacefully,-0.1573489010334015
s1,raw,-pain,5,生态,-0.15200427174568176
s1,raw,-pain,6, clean,-0.1519933044910431
s1,raw,-pain,7,环境卫生,-0.15144173800945282
s1,raw,-pain,8,环保,-0.14858795702457428
s1,raw,-pain,9,露天,-0.1456485092639923
s1,raw,-pain,10, cleanliness,-0.14549341797828674
s1,raw,-pain,11,安全保障,-0.14493000507354736
s1,raw,-pain,12, calm,-0.14040932059288025
s1,raw,-pain,13, serene,-0.14021632075309753
s1,raw,-pain,14, cleaner,-0.13993139564990997
s1,raw,-pain,15, citizen,-0.13943591713905334
s1,raw,-pain,16,生态环境,-0.13856536149978638
s1,raw,-pain,17,生态文明,-0.13784603774547577
s1,raw,-pain,18, Cleaner,-0.1370406150817871
s1,raw,-pain,19, ecology,-0.13583165407180786
s1,raw,-pain,20, sovereignty,-0.1355186104774475
s1,raw,-pain,21,这是我们,-0.13471102714538574
s1,raw,-pain,22, tidy,-0.1337374448776245
s1,raw,-pain,23,妥善,-0.1320037543773651
s1,raw,-pain,24, civic,-0.13169296085834503
s1,raw,-pain,25, eco,-0.13132190704345703
s1,raw,-pain,26,.clean,-0.13093659281730652
s1,raw,-pain,27,安心,-0.13002674281597137
s1,raw,-pain,28,(clean,-0.1299530267715454
s1,raw,-pain,29,净化,-0.12925323843955994
s1,raw,-pain,30,洗干净,-0.128582164645195
s1,raw,-pain,31,Cascade,-0.1278989017009735
s1,raw,-pain,32, refreshed,-0.12758833169937134
s1,raw,-pain,33, Citizens,-0.1270802617073059
s1,raw,-pain,34, calming,-0.12665340304374695
s1,raw,-pain,35, CLEAN,-0.12562744319438934
s1,raw,-pain,36, coastal,-0.1254904568195343
s1,raw,-pain,37,保洁,-0.124761663377285
s1,raw,-pain,38, bless,-0.12401431798934937
s1,raw,-pain,39, peace,-0.12393561750650406
s1,raw,-pain,40, prosperity,-0.12391387671232224
s1,rmsnorm_gain,+pain,1, pain,0.4243798851966858
s1,rmsnorm_gain,+pain,2,疼痛,0.41410189867019653
s1,rmsnorm_gain,+pain,3, Pain,0.3996177911758423
s1,rmsnorm_gain,+pain,4,pain,0.3670964241027832
s1,rmsnorm_gain,+pain,5, đau,0.31033825874328613
s1,rmsnorm_gain,+pain,6,痛苦,0.2969640791416168
s1,rmsnorm_gain,+pain,7, painful,0.2956411838531494
s1,rmsnorm_gain,+pain,8, pins,0.2764270305633545
s1,rmsnorm_gain,+pain,9,麻醉,0.27600938081741333
s1,rmsnorm_gain,+pain,10, incapac,0.27474015951156616
s1,rmsnorm_gain,+pain,11,孤立,0.2707807421684265
s1,rmsnorm_gain,+pain,12, hurting,0.27063149213790894
s1,rmsnorm_gain,+pain,13,痛み,0.2689007520675659
s1,rmsnorm_gain,+pain,14, stabbing,0.2649995684623718
s1,rmsnorm_gain,+pain,15, inability,0.2630256712436676
s1,rmsnorm_gain,+pain,16, pressure,0.2628309726715088
s1,rmsnorm_gain,+pain,17,住院,0.2620406448841095
